group	subgroup	cong	location	vacant	founded	building1st	whenorganized	year1n	memb1	year2n	memb2	year3n	memb3	year4n	memb4	year5n	memb5	year6n	memb6	year7n	memb7	year8n	memb8	year9	gps1	gps2	casenum	organizationdate	memborganize	parentchurch	year1	year2	year3	year4	year5	year6	year7	year8
Menno	MC	Greenmonte Fellowship	Augusta		1952	1956		1954	18	1975	69	2000	89	2018	100										38.001331	-79.090198	1				1954/18	1975/69	2000/89	2018/100				
Menno	Ind. Menn.	Hildebrand	Augusta		1826	1826		1905	13	1925	33	1950	43	1955	56	1975	36	1997	26	2015	4				38.139436	-78.888379	2				1905/13	1925/33	1950/43	1955/56	1975/36	1997/26	2015/4	
Menno	MC	Lynside	Augusta		1954	1954	52	1959	125	1975	135	1997	68	2013	63	2018	58								38.024984	-78.945297	3				1959/125	1975/135	1997/68	2013/63	2018/58			
Menno	Ind. Menn.	Mountain View	Augusta		1899	1900	23	1905	21	1925	31	1950	116	1975	153	1997	105	2007	151	2013	207				37.918041	-78.990468	4				1905/21	1925/31	1950/116	1975/153	1997/105	2007/151	2013/207	
Menno	MC	Springdale	Augusta		1825	1825		1905	75	1925	100	1933	150	1950	208	1975	180	1997	215	2013	160	2018	126		38.040818	-78.971802	5				1905/75	1925/100	1933/150	1950/208	1975/180	1997/215	2013/160	2018/126
Menno	Ind. Menn.	Stuarts Draft	Augusta		1920	1926		1925	15	1950	30	1975	114	1997	90	2013	54								38.008256	-79.025646	6				1925/15	1950/30	1975/114	1997/90	2013/54			
Menno	MC	Staunton	Staunton		1960	1960		1971	36	2000	42	2018	38												38.158	-79.096397	7				1971/36	2000/42	2018/38					
Menno	MC	Waynesboro	Waynesboro		1981	1986	78	1990	123	2000	196	2013	134	2018	89										38.079203	-78.904181	8				1990/123	2000/196	2013/134	2018/89				
Menno	Ind. Menn.	Island Creek	Carroll		2002			2008	51	2015	61														36.796517	-80.698561	9				2008/51	2015/61						
Menno	Ind. Menn.	Wills Ridge	Floyd		1992			1995	4	2010	42	2015	63	2018	76										36.944041	-80.361456	10				1995/4	2010/42	2015/63	2018/76				
Menno	MC	Stephens City	Frederick		1955	1960	12	1960	34	1975	76	1995	80	2013	35	2018	18								39.077257	-78.223788	11				1960/34	1975/76	1995/80	2013/35	2018/18			
Menno	Pilgrim MC	Winchester	Frederick		2014			2015	30																39.276048	-78.214008	12				2015/30							
Menno	SE Menn.	Mt. Hermon	Greene		1936	1947		1948	69	1950	54	1957	20	1960	53	1975	40	2004	56	2019	51				38.315083	-78.506406	13				1948/69	1950/54	1957/20	1960/53	1975/40	2004/56	2019/51	
Menno	SE Menn.	McDowell	Highland		2004	2020		2008	24	2019	37														38.205514	-79.582094	14				2008/24	2019/37						
Menno	MC	Christiansburg MF	Montgomery		1982			1990	32	2000	36	2013	48	2018	41										37.157006	-80.419836	15				1990/32	2000/36	2013/48	2018/41				
Menno	MC	Big Spring	Page		1960	1961		1971	16	1975	25	1997	45	2013	40	2018	0								38.726307	-78.423362	16				1971/16	1975/25	1997/45	2013/40	2018/0			
Menno	SE Menn.	Strasburg	Shenandoah		1999	2005		2008	29	2019	33														38.987551	-78.365248	17				2008/29	2019/33						
Menno	MC	Woodland	Shenandoah		1920	1944		1925	26	1958	22	1975	35	1997	31	2013	12								38.843234	-78.769858	18				1925/26	1958/22	1975/35	1997/31	2013/12			
Menno	Ind. Menn.	Broad Street	Harrisonburg		1936	1945		1953	17	1971	40	1997	19	2000	26	2015	10								38.451752	-78.863851	19				1953/17	1971/40	1997/19	2000/26	2015/10			
Menno	MC	Community	Harrisonburg		1972	1973	8 – 20	1975	26	2000	171	2007	225	2013	291	2018	271								38.449144	-78.872351	20				1975/26	2000/171	2007/225	2013/291	2018/271			
